"","Phylum.Proteobacteria.0001","Ralstonia.0001","Streptococcus.0001","Fusobacterium.0001","Prevotella.0001","Ralstonia.0002","Streptococcus.0002","Streptococcus.0003","Veillonella.0001","Fusobacterium.0002","Alloprevotella.0001","Prevotella.0003","Parvimonas.0001","Propionibacterium.0001","Propionibacterium.0002","Haemophilus.0001","Order.Gp2.0001","Delftia.0001","Prevotella.0004","Veillonella.0003","Stenotrophomonas.0001","Gemella.0001","Streptococcus.0004","Order.Gp2.0002","Alloprevotella.0003","Fusobacterium.0003","Pseudomonas.0002","Granulicatella.0001","Staphylococcus.0001","Campylobacter.0001","Corynebacterium.0001","Pelomonas.0001","Burkholderia.0001","Escherichia/Shigella.0001","Ralstonia.0003"
"MIC_005_HMP",14,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_006_HMP",2602,12,622,507,19,24,157,108,25,121,122,41,150,2,6,27,1,4,8,20,7,30,27,1,4,178,0,1,10,4,0,0,3,0,0
"MIC_007_HMP",842,8,0,0,0,1,0,0,0,0,1,0,0,87,20,0,16,7,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
"MIC_014_HMP",1288,1050,350,1228,4,1062,655,4,0,172,38,3,437,11,7,0,364,26,139,0,138,123,106,455,1,4,0,117,6,1,5,24,10,1,10
"MIC_015_HMP",307,257,0,0,0,332,0,0,0,0,0,0,0,3,1,8,269,4,0,0,5,0,7,62,5,0,0,0,35,0,42,24,12,1,3
"MIC_020_HMP",612,29,70,0,0,3,0,18,0,0,0,1,1,190,53,1,0,5,0,1,1,18,8,0,0,0,7,0,151,0,4,0,0,0,0
"MIC_023_HMP",1158,24,1,6,0,34,2,0,1,5,0,1,0,213,233,0,77,60,2,3,0,0,1,31,5,0,30,0,19,2,2,2,0,10,3
"MIC_025_HMP",77,5,4,3,0,7,0,0,0,0,0,2,1,4,0,0,1,2,0,2,1,0,3,6,0,0,0,0,0,0,0,0,0,1,0
"MIC_027_HMP",621,57,44,13,2,50,5,4,6,2,0,5,0,12,20,1,7,39,1,7,8,6,2,4,3,4,3,0,6,2,4,9,10,0,1
"MIC_028_HMP",1243,41,21,13,2,45,6,2,2,5,4,4,1,212,204,2,88,53,1,2,8,4,4,23,1,1,31,2,10,4,3,1,1,6,1
"MIC_029_HMP",1189,247,259,36,2,47,3,99,10,17,1,9,1,34,45,138,20,2,16,15,1,46,31,0,2,1,5,73,26,4,3,11,4,5,3
"MIC_032_HMP",989,0,1,1,1,0,0,0,0,0,0,1,0,55,73,0,0,60,0,0,30,0,0,0,0,0,11,0,0,1,1,0,0,27,0
"MIC_036_HMP",343,507,57,45,1,16,13,9,17,7,1,2,19,3,2,5,4,37,0,2,14,22,0,5,0,7,7,6,10,1,0,15,1,0,1
"MIC_037_HMP",27,151,41,18,17,10,14,2,4,0,8,4,1,0,1,1,1,0,3,1,1,2,4,1,5,0,0,2,1,0,0,0,1,0,1
"MIC_039_HMP",1837,20,1414,381,278,16,260,384,158,122,689,52,147,2,4,35,0,2,78,128,0,97,19,7,55,33,2,71,8,18,4,0,3,0,1
"MIC_040_HMP",3290,29,784,2219,2,23,52,223,152,694,73,160,295,2,2,142,3,1,398,116,1,191,24,6,8,34,1,20,0,3,6,1,11,1,0
"MIC_043_HMP",1540,130,746,309,0,108,0,262,0,131,2,1,0,10,16,1,148,11,0,0,40,0,19,0,0,0,8,26,0,0,37,0,37,4,1
"MIC_044_HMP",760,1,0,0,0,2,0,0,0,0,0,1,0,19,44,0,1,63,1,0,31,0,0,0,0,1,2,0,5,0,0,0,0,2,0
"MIC_045_HMP",2928,0,1129,1,0,1,0,115,2,1,1,1,0,39,69,1,0,0,2,0,187,0,66,0,0,0,28,0,0,0,0,1,0,3,0
"MIC_049_HMP",407,11,126,251,70,9,23,36,53,35,45,29,43,0,1,12,0,7,3,19,1,19,11,2,17,7,0,4,0,14,1,0,4,0,0
"MIC_058_HMP",501,103,141,106,1,51,12,15,23,14,56,25,0,0,0,6,6,13,0,4,3,12,7,13,8,45,3,11,0,12,0,0,5,0,0
"MIC_063_HMP",112,850,1,5,0,72,0,0,0,2,0,0,0,6,3,0,0,19,0,0,1,0,0,4,0,0,6,0,0,0,0,4,1,0,4
"MIC_066_HMP",1034,6943,210,107,12,448,7,29,7,21,2,22,16,26,20,0,10,9,5,0,1,9,8,23,1,1,26,2,4,2,0,48,17,1,5
"MIC_067_HMP",28,789,23,0,0,55,8,1,0,0,1,0,1,27,60,0,2,2,1,0,0,0,24,2,0,0,2,4,0,0,0,2,8,0,2
